dataset,scope,q,queries,feasible,feasible_rate,optq_viol,optq_adm,optq_unknown,optq_pres,optq_shift,optq_adm_count,hard_viol,hard_adm,hard_pres,hard_shift,afq_pres,afq_shift,mean_lambda,median_lambda,p95_lambda
EurostatKG,full,1,12922,10085,0.7804519424237734,0.7391137631717165,0.26011898859691535,0.0011502231036192357,0.9496083292017232,14.762687159147328,2.6011898859692613,0.0,0.9877441745166085,0.21090728805155928,515.2240059494287,0.9496083292017232,15.860396628656472,0.03951042255790268,0.0008785724639892578,0.151955246925354
EurostatKG,full,3,12922,10085,0.7804519424237734,0.6082892241344611,0.39086762518595597,0.0010708973723351507,0.8188596926127327,71.2683886960829,3.908676251859197,0.0,0.9877441745166085,0.21090728805155928,515.2240059494287,0.8188596926127327,73.62283589489252,0.06656049094728508,0.02277350425720215,0.2041553258895874
EurostatKG,full,5,12922,10085,0.7804519424237734,0.4453381180599818,0.5539018344075374,0.0008924144769459592,0.6558254833911812,166.25428854734668,5.53901834407536,0.0,0.9877441745166085,0.21090728805155928,515.2240059494287,0.6558254833911812,169.01535944472295,0.09205619920789457,0.04504215717315674,0.2500212669372558
EurostatKG,full,10,12922,10085,0.7804519424237734,0.0,1.0,0.0,0.2097273177987087,556.368319286065,10.0,0.0,0.9877441745166085,0.21090728805155928,515.2240059494287,0.2097273177987087,556.368319286065,0.2975769955539281,0.25164616107940674,0.9889545440673828
EurostatKG,blind_strict,1,9130,9130,1.0,0.816425224708298,0.18318729463306907,0.0008105147864184005,0.9443373493975243,16.306867469879606,1.8318729463307777,0.0,0.9869222343921134,0.12836801752464452,569.1165498357052,0.9443373493975243,17.519003285870813,0.04364322141253543,0.006251208484172821,0.15293238162994385
EurostatKG,blind_strict,3,9130,9130,1.0,0.6719164102295773,0.3276013143483334,0.0007338444687842278,0.7999233296823052,78.72301204819233,3.276013143483023,0.0,0.9869222343921134,0.12836801752464452,569.1165498357052,0.7999233296823052,81.32185104052476,0.07352194340995473,0.032389163970947266,0.20896223783493034
EurostatKG,blind_strict,5,9130,9130,1.0,0.4919205827639558,0.5076122672508221,0.0006133625410733843,0.619912376779854,183.64358159912283,5.076122672508214,0.0,0.9869222343921134,0.12836801752464452,569.1165498357052,0.619912376779854,186.6908762322049,0.10163907304422487,0.05817693471908569,0.2608839392662048
EurostatKG,blind_strict,10,9130,9130,1.0,0.0,1.0,0.0,0.12752464403066868,614.5589266155495,10.0,0.0,0.9869222343921134,0.12836801752464452,569.1165498357052,0.12752464403066868,614.5589266155495,0.327331106617296,0.27176332473754883,1.017535924911498
DBpedia,subset,1,47246,34438,0.7289082673665496,0.6039411290776421,0.3909750856612914,0.033555955630409556,0.9656048551021336,14.64357395899882,3.909750856611882,5.710745881487504e-05,0.7233201695801051,0.3930396654858443,36.9258580637662,0.9656048551021336,15.479894302805702,1.4760788193396475,0.0,7.5443747520446705
DBpedia,subset,3,47246,33275,0.7042924268721161,0.489211811145811,0.5014365138991372,0.025000751314802956,0.8675942900076511,46.20570698722773,5.014365138993238,2.4042073628850488e-05,0.7484628099173455,0.4033448534936557,34.61443425995433,0.8675942900076511,48.03211119459037,2.6632765605304582,0.41387367248535156,11.090825653076168
DBpedia,subset,5,47246,32436,0.6865343097828388,0.3534500784940274,0.6362529288444947,0.01732334443211343,0.7423079294610934,71.95185596251082,6.362529288444938,2.4663953631767175e-05,0.7676193118756842,0.4109908743371959,33.577034776174195,0.7423079294610934,74.06830065359497,3.7032817919402192,1.5871152877807617,13.861242294311523
DBpedia,subset,10,47246,31795,0.6729670236633789,0.0,1.0,0.0,0.3861865073124931,184.35822928133342,10.0,0.0,0.7827299889919712,0.4171819468470269,31.956342192168314,0.3861865073124931,184.35822928133342,8.041922309717718,5.352800369262695,25.91567916870117
DrugBank,full,1,585952,585923,0.9999505078914314,0.8783940893348335,0.12160591067378049,0.0,0.9024184065236842,76.01382229403845,1.216059106742695,6.007615335120822e-05,0.9999399238466484,0.024084393341787278,912.2150695569196,0.9024184065236842,77.77034729820367,2.5231806922597735,2.1946630477905273,4.61895227432251
DrugBank,full,3,585952,585904,0.9999180820271968,0.6832117548337147,0.31678824517126974,0.0,0.7072368510953426,244.5614218370358,3.167882451732707,3.2257844288484116e-05,0.9999677421557113,0.024057354105792125,912.2231761517231,0.7072368510953426,248.0332045864427,2.7542700694148636,2.3503236770629883,4.971531391143799
DrugBank,full,5,585952,585902,0.99991466877833,0.48801267106103097,0.5119873289389689,0.0,0.5120378493331662,425.61153366954807,5.119873289389693,3.020983031291923e-05,0.9999697901696868,0.024055388102447218,912.2197174612805,0.5120378493331662,429.3914658082798,2.9456063237694137,2.5011043548583984,5.275083065032959
DrugBank,full,10,585952,585858,0.9998395773032603,0.0,1.0,0.0,0.02402698264767236,912.0801759129334,10.0,0.0,1.0,0.02402698264767236,912.0801759129334,0.02402698264767236,912.0801759129334,3.6510193686778964,3.0102643966674805,6.515142440795898
