dataset,scorer,scope,num_queries,num_feasible,feasible_rate,target_in_topm_rate,delta_hit10,delta_mrr10,delta_viol,delta_adm,optq_viol,optq_adm,optq_unknown,optq_pres,optq_shift
EurostatKG,PairRE-main,full,12922,10085,0.7804519424237734,0.542872620337409,0.006500541711809277,0.0018173755598303032,-0.26861550868088824,0.26861167002012365,0.5657200836275262,0.4322937625754539,0.0020894598359387,0.7313883299798868,129.75348243305922
EurostatKG,PairRE-main,blind_strict,9130,9130,1.0,0.5305585980284776,0.0092004381161008,0.0025721935360489,-0.38018067942765665,0.3800876232201535,0.4919205827639558,0.5076122672508221,0.0006133625410733,0.619912376779854,183.64358159912285
EurostatKG,ComplEx,full,12922,10085,0.7804519424237734,0.4274106175514626,0.002476396842594,0.0009302456988573999,-0.2756642418614227,0.2755920136201855,0.5975089855371478,0.4009363875561084,0.001679306608884,0.7244079863798195,106.6811252128161
EurostatKG,ComplEx,blind_strict,9936,9936,1.0,0.422000805152979,0.0032206119162641,0.0012098062520767,-0.35850778314545695,0.35841384863124326,0.49335860619073,0.5064311594202918,0.000372383252818,0.641586151368752,138.74129428341482
DBpedia,ComplEx-main,full,47246,32436,0.6865343097828388,0.0013969436566058,4.233162595775304e-05,4.233162595775304e-06,-0.1825913791979557,0.1769144477839248,0.3503243408865266,0.4368285145832458,0.2228950598992624,0.8230855522160334,49.3974177708166
DBpedia,ComplEx-main,blind_strict,25889,23887,0.9226698597860096,0.0017768164085132,7.725288732666383e-05,7.725288732666383e-06,-0.33321921671700405,0.3228591293599752,0.5201214341814888,0.4669705280234901,0.0295492294024513,0.6771408706400639,90.14756846537142
DrugBank,RotatE-main,full,585952,585902,0.99991466877833,0.571401753044618,0.0011639178635793,0.00020603832980959995,-0.48792051226038924,0.48792051226038946,0.4880563595652888,0.511943640434711,0.0,0.5120794877396113,425.5752157174232
DrugBank,RotatE-main,blind_strict,571893,571872,0.9999632798443066,0.5635652123736433,0.0011925307706161085,0.0002111034256907543,-0.4999151939261356,0.49991519392613626,0.5000036720155696,0.4999963279844304,0.0,0.5000848060738647,436.0372461283064
DrugBank,ComplEx,full,585952,585952,1.0,0.1684745508164491,3.925236196829999e-05,1.1693763528384843e-05,-0.17857810878738284,0.1785781087875115,0.483288221560567,0.5167117784393327,0.0,0.8214218912134581,2.205689203211539
DrugBank,ComplEx,blind_strict,585662,585662,1.0,0.1683172205128555,3.92717984093e-05,1.1699553884295306e-05,-0.17866653462267423,0.17866653462280052,0.4835275295304413,0.5164724704694614,0.0,0.8213334653781648,2.2067813858508964
DrugBank,PairRE,full,585952,585952,1.0,0.6176342089454426,0.00041470973731639986,7.41291285141e-05,-0.12385246573101732,0.12385246573107411,0.3688179236524476,0.6311820763475803,0.0,0.8761475342689484,3.980910723062611
DrugBank,PairRE,blind_strict,531246,531246,1.0,0.6055236180601831,0.00045741520877329994,8.176270712830001e-05,-0.1366063932717066,0.13660639327174656,0.406797604123135,0.5932023958768999,0.0,0.8633936067282247,4.390852072297924
