dataset,scorer,variant,scope,num_queries,num_feasible,feasible_rate,target_in_topm_rate,delta_hit10,delta_mrr10,base_viol,optq_viol,delta_viol,base_adm,optq_adm,delta_adm,base_unknown,optq_unknown,delta_unknown,optq_pres,optq_shift
DBpedia,ComplEx-main,domain_range_u1,blind_strict,25889,23887,0.9226698597860096,0.0017768164085132,7.725288732666383e-05,7.725288732666383e-06,0.8533406508984929,0.5201214341814888,-0.33321921671700405,0.1441113986635149,0.4669705280234901,0.3228591293599752,0.0484452856425514,0.0295492294024513,-0.018896056240100097,0.6771408706400639,90.14756846537142
DBpedia,ComplEx-main,domain_only_u1,blind_strict,11089,10936,0.9862025430606908,0.001893768599513,0.0001803589142393,1.903788539192994e-05,0.8738895043994332,0.4676258969635051,-0.40626360743592815,0.1118405627198135,0.4966092524123011,0.38476868969248756,0.1048155830101939,0.0605464875101496,-0.044269095500044306,0.6152313103075214,91.48196410857658
DBpedia,ComplEx-main,range_only_u1,blind_strict,16219,13847,0.8537517726123682,0.0017263703064307,0.000123312164745,1.2331216474505213e-05,0.9193018035871752,0.5420012732470271,-0.3773005303401481,0.0711387878414221,0.4284419507984463,0.35730316295702425,0.1054812257229124,0.0642579690486529,-0.041223256674259495,0.6426968370430051,154.62666009001805
DBpedia,ComplEx-main,domain_range_u0p5,blind_strict,25889,23887,0.9226698597860096,0.0017768164085132,7.725288732666383e-05,7.725288732666383e-06,0.8533406508984929,0.4438751335831133,-0.40946551731537956,0.1441113986635149,0.4669705280234901,0.3228591293599752,0.0484452856425514,0.1144269767082543,0.0659816910657029,0.6104639035884232,91.4473367067094
DBpedia,ComplEx-main,domain_range_u2,blind_strict,25889,23887,0.9226698597860096,0.0017768164085132,7.725288732666383e-05,7.725288732666383e-06,0.8533406508984929,0.5312462331553482,-0.3220944177431446,0.1441113986635149,0.4669705280234901,0.3228591293599752,0.0484452856425514,0.0109196956236238,-0.0375255900189276,0.6770636177527373,90.1009656610921
DBpedia,ComplEx-main,domain_range_u1,full,47246,32436,0.6865343097828388,0.0013969436566058,4.233162595775304e-05,4.233162595775304e-06,0.5329157200844823,0.3503243408865266,-0.1825913791979557,0.259914066799321,0.4368285145832458,0.1769144477839248,0.2332493756085304,0.2228950598992624,-0.010354315709268008,0.8230855522160334,49.3974177708166
DBpedia,ComplEx-main,domain_only_u1,full,47246,21359,0.4520805994158235,0.0013969436566058,4.233162595775304e-05,4.468338295540598e-06,0.2208559605952941,0.1255027636504317,-0.09535319694486241,0.2468251280531791,0.3371333022901415,0.09030817423696239,0.5536214706006821,0.5432311730093503,-0.01039029759133181,0.9096918257629966,21.47152139863704
DBpedia,ComplEx-main,range_only_u1,full,47246,26158,0.553655335901452,0.0013969436566058,4.233162595775304e-05,4.233162595775304e-06,0.3684577731952013,0.238934907733869,-0.1295228654613323,0.2849892054353953,0.4076472082292683,0.12265800279387301,0.3806544469373364,0.3665029843796571,-0.014151462557679295,0.8773419972060751,53.08152647843209
DBpedia,ComplEx-main,domain_range_u0p5,full,47246,32436,0.6865343097828388,0.0013969436566058,4.233162595775304e-05,4.233162595775304e-06,0.5329157200844823,0.3085442859360165,-0.22437143414846578,0.259914066799321,0.4368285145832458,0.1769144477839248,0.2332493756085304,0.2694048173390345,0.036155441730504084,0.7865491258519182,50.10964102781187
DBpedia,ComplEx-main,domain_range_u2,full,47246,32436,0.6865343097828388,0.0013969436566058,4.233162595775304e-05,4.233162595775304e-06,0.5329157200844823,0.3564203050027276,-0.1764954150817547,0.259914066799321,0.4368285145832458,0.1769144477839248,0.2332493756085304,0.2126867882995429,-0.020562587308987496,0.8230432205900756,49.37188121745785
EurostatKG,PairRE-main,domain_range_u1,blind_strict,9130,9130,1.0,0.5305585980284776,0.0092004381161008,0.0025721935360489,0.8721012621916124,0.4919205827639558,-0.38018067942765665,0.1275246440306686,0.5076122672508221,0.3800876232201535,0.0008433734939759,0.0006133625410733,-0.00023001095290260004,0.619912376779854,183.64358159912285
EurostatKG,PairRE-main,domain_only_u1,blind_strict,3072,3072,1.0,0.6119791666666666,0.006184895833333315,0.0017372736855158777,0.7688972594246063,0.4796473265955694,-0.2892499328290369,0.2291015625000007,0.5173828124999992,0.2882812499999985,0.00615234375,0.0044921874999999,-0.0016601562500001,0.7117187499999984,46.93447265625008
EurostatKG,PairRE-main,range_only_u1,blind_strict,6076,6061,0.9975312705727452,0.5385121790651745,0.050526662277814396,0.012911128353031098,0.859194449669265,0.4956795275713961,-0.36351492209786884,0.1404048716260715,0.5024028966425272,0.3619980250164557,0.0064680710994075,0.0032587228439762,-0.0032093482554313,0.6380019749835341,418.9816161948671
EurostatKG,PairRE-main,domain_range_u0p5,blind_strict,9130,9130,1.0,0.5305585980284776,0.0092004381161008,0.0025289904205565983,0.8721012621916124,0.4907051148316201,-0.38139614735999233,0.1275246440306686,0.5076122672508221,0.3800876232201535,0.0008433734939759,0.0024096385542168,0.0015662650602409,0.618269441401979,183.80578313252917
EurostatKG,PairRE-main,domain_range_u2,blind_strict,9130,9130,1.0,0.5305585980284776,0.0092004381161008,0.0025721935360489,0.8721012621916124,0.4919829534588565,-0.3801183087327559,0.1275246440306686,0.5076122672508221,0.3800876232201535,0.0008433734939759,0.00052573932092,-0.00031763417305590003,0.619912376779854,183.6433187294623
EurostatKG,PairRE-main,domain_range_u1,full,12922,10085,0.7804519424237734,0.542872620337409,0.006500541711809277,0.0018173755598303032,0.8343355923084145,0.5657200836275262,-0.26861550868088824,0.1636820925553302,0.4322937625754539,0.26861167002012365,0.0023138832997987,0.0020894598359387,-0.00022442346385999996,0.7313883299798868,129.75348243305922
EurostatKG,PairRE-main,domain_only_u1,full,12922,7004,0.5420213589227674,0.542872620337409,0.0014703606252901846,0.0004130091906752037,0.6163173178263686,0.5475527462700477,-0.06876457155632087,0.3580328122581643,0.4266290047980198,0.0685961925398555,0.0273641851106641,0.0269075994428108,-0.0004565856678532994,0.9314038074601476,11.158590001547765
EurostatKG,PairRE-main,range_only_u1,full,12922,12836,0.9933446834855284,0.542872620337409,0.023757932208636395,0.006070888087990597,0.4053912301648705,0.2344643870549297,-0.1709268431099408,0.5900944126296263,0.760308001857298,0.1702135892276717,0.0073672806067172,0.0058582262807615,-0.0015090543259557,0.8297864107723355,197.0076071815518
EurostatKG,PairRE-main,domain_range_u0p5,full,12922,10085,0.7804519424237734,0.542872620337409,0.006500541711809277,0.0017868505293053005,0.8343355923084145,0.5648612984377547,-0.2694742938706598,0.1636820925553302,0.4322937625754539,0.26861167002012365,0.0023138832997987,0.0033586132177681,0.0010447299179694,0.7302275189599209,129.86808543569035
EurostatKG,PairRE-main,domain_range_u2,full,12922,10085,0.7804519424237734,0.542872620337409,0.006500541711809277,0.0018173755598303032,0.8343355923084145,0.5657641514532842,-0.2685714408551303,0.1636820925553302,0.4322937625754539,0.26861167002012365,0.0023138832997987,0.0020275499148738,-0.00028633338492489984,0.7313883299798868,129.75329670329597
