dataset_name,scope,quota,method,kind,metric,num_queries,num_feasible,feasible_rate,target_in_topm_rate,bootstrap_samples,mean,ci_low,ci_high,dataset_group
DBpedia,blind_strict,5,optq,delta_vs_base,delta_hit10,2913,2727,0.9361483007209064,0.0013731548232063,1000,0.0,0.0,0.0,DBpedia
DBpedia,blind_strict,5,optq,delta_vs_base,delta_mrr10,2913,2727,0.9361483007209064,0.0013731548232063,1000,0.0,0.0,0.0,DBpedia
DBpedia,blind_strict,5,optq,delta_vs_base,delta_viol_at_k,2913,2727,0.9361483007209064,0.0013731548232063,1000,-0.3376876508699371,-0.3447040463112811,-0.331308634936982,DBpedia
DBpedia,blind_strict,5,optq,delta_vs_base,delta_adm_at_k,2913,2727,0.9361483007209064,0.0013731548232063,1000,0.3268108479231033,0.3198395125300378,0.3336079642979745,DBpedia
DBpedia,blind_strict,5,optq,delta_vs_base,delta_unknown_at_k,2913,2727,0.9361483007209064,0.0013731548232063,1000,-0.019361483007209,-0.0210092687950566,-0.0175763817370408,DBpedia
DBpedia,blind_strict,5,optq,delta_vs_base,delta_pres_at_k,2913,2727,0.9361483007209064,0.0013731548232063,1000,-0.3268108479231033,-0.3338851699279094,-0.3194987984895297,DBpedia
DBpedia,blind_strict,5,optq,delta_vs_base,delta_shift_at_k,2913,2727,0.9361483007209064,0.0013731548232063,1000,95.06141434946792,86.62191640920014,103.24243563336768,DBpedia
DBpedia,full,5,optq,delta_vs_base,delta_hit10,5000,3657,0.7314,0.001,1000,0.0,0.0,0.0,DBpedia
DBpedia,full,5,optq,delta_vs_base,delta_mrr10,5000,3657,0.7314,0.001,1000,0.0,0.0,0.0,DBpedia
DBpedia,full,5,optq,delta_vs_base,delta_viol_at_k,5000,3657,0.7314,0.001,1000,-0.1967368253968254,-0.2029689007936508,-0.1904904623015872,DBpedia
DBpedia,full,5,optq,delta_vs_base,delta_adm_at_k,5000,3657,0.7314,0.001,1000,0.1904,0.18412,0.196621,DBpedia
DBpedia,full,5,optq,delta_vs_base,delta_unknown_at_k,5000,3657,0.7314,0.001,1000,-0.01128,-0.0122605,-0.01026,DBpedia
DBpedia,full,5,optq,delta_vs_base,delta_pres_at_k,5000,3657,0.7314,0.001,1000,-0.1904,-0.1968204999999999,-0.18438,DBpedia
DBpedia,full,5,optq,delta_vs_base,delta_shift_at_k,5000,3657,0.7314,0.001,1000,55.38278,50.7924505,60.151767,DBpedia
DrugBank,blind_strict,5,optq,delta_vs_base,delta_hit10,48714,48712,0.9999589440407276,0.6154698854538736,1000,0.0009853430225397,0.0007184792872685,0.0012727347374471,DrugBank
DrugBank,blind_strict,5,optq,delta_vs_base,delta_mrr10,48714,48712,0.9999589440407276,0.6154698854538736,1000,0.0001759215270731,0.0001134472277778,0.0002451044841579,DrugBank
DrugBank,blind_strict,5,optq,delta_vs_base,delta_viol_at_k,48714,48712,0.9999589440407276,0.6154698854538736,1000,-0.499950732848873,-0.4999794720203637,-0.4999117296875641,DrugBank
DrugBank,blind_strict,5,optq,delta_vs_base,delta_adm_at_k,48714,48712,0.9999589440407276,0.6154698854538736,1000,0.499950732848873,0.499917836761506,0.4999815248183273,DrugBank
DrugBank,blind_strict,5,optq,delta_vs_base,delta_unknown_at_k,48714,48712,0.9999589440407276,0.6154698854538736,1000,0.0,0.0,0.0,DrugBank
DrugBank,blind_strict,5,optq,delta_vs_base,delta_pres_at_k,48714,48712,0.9999589440407276,0.6154698854538736,1000,-0.499950732848873,-0.4999774192224002,-0.499911678367615,DrugBank
DrugBank,blind_strict,5,optq,delta_vs_base,delta_shift_at_k,48714,48712,0.9999589440407276,0.6154698854538736,1000,455.0517202446935,452.8830752453094,457.3424306667488,DrugBank
DrugBank,full,5,optq,delta_vs_base,delta_hit10,50000,49994,0.99988,0.6225,1000,0.00096,0.0007195,0.0012204999999999,DrugBank
DrugBank,full,5,optq,delta_vs_base,delta_mrr10,50000,49994,0.99988,0.6225,1000,0.0001713968253968,0.0001178200396825,0.0002418259920634,DrugBank
DrugBank,full,5,optq,delta_vs_base,delta_viol_at_k,50000,49994,0.99988,0.6225,1000,-0.4870919999999999,-0.4877841499999999,-0.4864495,DrugBank
DrugBank,full,5,optq,delta_vs_base,delta_adm_at_k,50000,49994,0.99988,0.6225,1000,0.4870919999999999,0.48641795,0.4878343,DrugBank
DrugBank,full,5,optq,delta_vs_base,delta_unknown_at_k,50000,49994,0.99988,0.6225,1000,0.0,0.0,0.0,DrugBank
DrugBank,full,5,optq,delta_vs_base,delta_pres_at_k,50000,49994,0.99988,0.6225,1000,-0.4870919999999999,-0.4877300499999999,-0.48639995,DrugBank
DrugBank,full,5,optq,delta_vs_base,delta_shift_at_k,50000,49994,0.99988,0.6225,1000,443.34779,441.10797855,445.6344158,DrugBank
EurostatKG,blind_strict,5,optq,delta_vs_base,delta_hit10,9130,9130,1.0,0.5305585980284776,1000,0.0092004381161007,0.0072289156626506,0.0111719605695509,EurostatKG
EurostatKG,blind_strict,5,optq,delta_vs_base,delta_mrr10,9130,9130,1.0,0.5305585980284776,1000,0.0025721935360489,0.001870942645039,0.0032634966272014,EurostatKG
EurostatKG,blind_strict,5,optq,delta_vs_base,delta_viol_at_k,9130,9130,1.0,0.5305585980284776,1000,-0.3801806794276674,-0.3832656687355482,-0.3767348952085397,EurostatKG
EurostatKG,blind_strict,5,optq,delta_vs_base,delta_adm_at_k,9130,9130,1.0,0.5305585980284776,1000,0.3800876232201533,0.3766374589266155,0.3833518619934282,EurostatKG
EurostatKG,blind_strict,5,optq,delta_vs_base,delta_unknown_at_k,9130,9130,1.0,0.5305585980284776,1000,-0.0002300109529025,-0.0003614457831325,-0.0001095290251916,EurostatKG
EurostatKG,blind_strict,5,optq,delta_vs_base,delta_pres_at_k,9130,9130,1.0,0.5305585980284776,1000,-0.3800876232201533,-0.38367004381161,-0.3767029025191676,EurostatKG
EurostatKG,blind_strict,5,optq,delta_vs_base,delta_shift_at_k,9130,9130,1.0,0.5305585980284776,1000,183.64358159912376,177.63826423877325,189.66743017524644,EurostatKG
EurostatKG,full,5,optq,delta_vs_base,delta_hit10,12922,10085,0.7804519424237734,0.542872620337409,1000,0.0065005417118093,0.0051849558891812,0.0078935149357684,EurostatKG
EurostatKG,full,5,optq,delta_vs_base,delta_mrr10,12922,10085,0.7804519424237734,0.542872620337409,1000,0.0018173755598302,0.0013573281876853,0.0023347886464083,EurostatKG
EurostatKG,full,5,optq,delta_vs_base,delta_viol_at_k,12922,10085,0.7804519424237734,0.542872620337409,1000,-0.268615508680901,-0.2725763356082772,-0.2649556250813796,EurostatKG
EurostatKG,full,5,optq,delta_vs_base,delta_adm_at_k,12922,10085,0.7804519424237734,0.542872620337409,1000,0.2686116700201207,0.2648738585358304,0.2725520430273951,EurostatKG
EurostatKG,full,5,optq,delta_vs_base,delta_unknown_at_k,12922,10085,0.7804519424237734,0.542872620337409,1000,-0.00022442346386,-0.0003482433059897,-0.0001238198421297,EurostatKG
EurostatKG,full,5,optq,delta_vs_base,delta_pres_at_k,12922,10085,0.7804519424237734,0.542872620337409,1000,-0.2686116700201207,-0.2722956972604859,-0.2647655161739669,EurostatKG
EurostatKG,full,5,optq,delta_vs_base,delta_shift_at_k,12922,10085,0.7804519424237734,0.542872620337409,1000,129.7534824330599,125.45343271165454,134.14350855130783,EurostatKG
