dataset,scope,selector,alpha,quota_success,hit10,mrr10,viol_at_k,adm_at_k,unknown_at_k,pres_at_k,shift_at_k,num_queries,num_feasible,target_in_topm_rate
EurostatKG,full,Base,,0.0557029177718832,0.0,0.0,0.9268999999999994,0.0730999999999999,0.0,1.0,0.0,1000,754,0.453
EurostatKG,full,OptQ,,1.0,0.005,0.0013428571428571,0.6106999999999999,0.3893,0.0,0.6838000000000003,127.4349,1000,754,0.453
EurostatKG,full,Learned nearest OptQ-Pres,0.1,0.7188328912466844,0.003,0.0005595238095238,0.5276000000000013,0.4723999999999987,0.0,0.6007000000000001,84.15720000000017,1000,754,0.453
EurostatKG,full,Learned quota-safe,1.0,1.0,0.01,0.0031972222222222,0.246,0.754,0.0,0.3191000000000001,456.1947999999997,1000,754,0.453
EurostatKG,blind_strict,Base,,0.0299727520435967,0.0,0.0,0.9276566757493184,0.0723433242506812,0.0,1.0,0.0,734,734,0.4754768392370572
EurostatKG,blind_strict,OptQ,,1.0,0.0068119891008174,0.0018295056442195,0.496866485013624,0.5031335149863759,0.0,0.5692098092643059,173.61702997275205,734,734,0.4754768392370572
EurostatKG,blind_strict,Learned nearest OptQ-Pres,0.1,0.7111716621253406,0.0040871934604904,0.0007622940184248,0.383651226158038,0.6163487738419602,0.0,0.4559945504087196,114.65558583106292,734,734,0.4754768392370572
EurostatKG,blind_strict,Learned quota-safe,1.0,1.0,0.0136239782016348,0.0043558885861338,0.0,1.0,0.0,0.0723433242506812,621.5188010899178,734,734,0.4754768392370572
DBpedia,full,Base,,0.3047210300429184,0.0,0.0,0.5767083333333332,0.2523999999999998,0.1982999999999994,1.0,0.0,1000,699,0.001
DBpedia,full,OptQ,,1.0,0.0,0.0,0.3841226190476196,0.4389000000000001,0.1871999999999995,0.8135000000000001,49.57650000000006,1000,699,0.001
DBpedia,full,Learned nearest OptQ-Pres,0.1,0.7925608011444921,0.0,0.0,0.3074051587301584,0.5196999999999992,0.1876999999999996,0.7326999999999987,9.723599999999998,1000,699,0.001
DBpedia,full,Learned quota-safe,0.3,1.0,0.0,0.0,0.1271499999999999,0.7028000000000003,0.1732999999999999,0.5496000000000003,165.0633,1000,699,0.001
DBpedia,blind_strict,Base,,0.0777988614800759,0.0,0.0,0.85562865497076,0.1410526315789473,0.0489473684210526,1.0,0.0,570,527,0.0
DBpedia,blind_strict,OptQ,,1.0,0.0,0.0,0.5177589807852976,0.4682456140350878,0.0294736842105262,0.6728070175438599,86.97631578947379,570,527,0.0
DBpedia,blind_strict,Learned nearest OptQ-Pres,0.1,0.7248576850094877,0.0,0.0,0.3831669451406281,0.6099999999999995,0.0303508771929824,0.5310526315789478,17.058947368421048,570,527,0.0
DBpedia,blind_strict,Learned quota-safe,0.3,1.0,0.0,0.0,0.0669298245614035,0.931228070175439,0.0050877192982456,0.2098245614035087,289.58473684210526,570,527,0.0
DrugBank,full,Base,,0.0109,0.0011,0.0003928968253968,0.9889600000000002,0.01104,0.0,1.0,0.0,10000,10000,0.603
DrugBank,full,OptQ,,1.0,0.0027,0.0007385317460317,0.49455,0.50545,0.0,0.5055899999999999,392.9646400000133,10000,10000,0.603
DrugBank,full,Learned nearest OptQ-Pres,0.1,0.221,0.0025,0.0007163095238095,0.7639799999999913,0.2360200000000066,0.0,0.7750199999999904,94.90635000000049,10000,10000,0.603
DrugBank,full,Learned quota-safe,1.0,1.0,0.0048,0.0013838095238095,5e-05,0.99995,0.0,0.01109,842.5260799999738,10000,10000,0.603
DrugBank,blind_strict,Base,,0.0,0.0,0.0,0.999858457183298,0.000141542816702,0.0,1.0,0.0,9891,9891,0.5995349307451219
DrugBank,blind_strict,OptQ,,1.0,0.0016176321908805,0.0003494438586946,0.5,0.5,0.0,0.500141542816702,397.295157213642,9891,9891,0.5995349307451219
DrugBank,blind_strict,Learned nearest OptQ-Pres,0.1,0.2124153270650086,0.0014154281670205,0.0003269767449324,0.772399150743091,0.2276008492569064,0.0,0.772540693559793,95.95222929936352,9891,9891,0.5995349307451219
DrugBank,blind_strict,Learned quota-safe,1.0,1.0,0.0037407744414113,0.0010018326745654,5.055100596501871e-05,0.9999494489940348,0.0,0.000192093822667,851.81081791525,9891,9891,0.5995349307451219
