dataset,top_m,num_queries,num_feasible,feasible_rate,target_in_topm_rate,delta_hit10,delta_mrr10,delta_viol,delta_adm,optq_viol,optq_adm,optq_unknown,optq_pres,optq_shift,source
EurostatKG,500,12922,6744,0.5219006345766909,0.16669246246711036,0.0021668472372697867,0.000678245295951535,-0.13995293494789407,0.1399705927874948,0.6943826573605204,0.303652685342825,0.002159108497136666,0.8600294072125146,10.325096734251664,outputs\stc_final_evidence_v1\window\eurostat_m500_q5\factual_utility_summary.csv
EurostatKG,1000,12922,8084,0.6255997523603157,0.1861940876025383,0.003637207862559999,0.0009490397820377944,-0.19134676803186657,0.19135582727132228,0.6429888242765479,0.3550379198266525,0.002159108497136666,0.8086441727286887,32.55841201052452,outputs\stc_final_evidence_v1\window\eurostat_m1000_q5\factual_utility_summary.csv
EurostatKG,5000,12922,10065,0.7789041943971522,0.27867203219315895,0.006345766909147205,0.0017245106782330377,-0.26783733536750376,0.26783779600681307,0.5664982569409107,0.4315198885621433,0.0020971985760718155,0.7321622039931975,126.81448692152824,outputs\stc_final_evidence_v1\window\eurostat_m5000_q5\factual_utility_summary.csv
EurostatKG,10000,12922,10085,0.7804519424237734,0.36813186813186816,0.006500541711809332,0.001817375559830317,-0.26861550868088824,0.26861167002012365,0.5657200836275262,0.4322937625754539,0.002089459835938709,0.7313883299798868,129.75348243305922,outputs\stc_final_evidence_v1\window\eurostat_m10000_q5\factual_utility_summary.csv
EurostatKG,20000,12922,10085,0.7804519424237734,0.542872620337409,0.006500541711809332,0.001817375559830317,-0.26861550868088824,0.26861167002012365,0.5657200836275262,0.4322937625754539,0.002089459835938709,0.7313883299798868,129.75348243305922,outputs\stc_upgrade_corrected\exp14_factual_utility\eurostat_m20000_q5\factual_utility_summary.csv
DBpedia,500,47246,27956,0.591711467637472,8.466325191550607e-05,0.0,0.0,-0.13265350757836214,0.1297993480929469,0.40026221250612015,0.38971341489226796,0.22763620200653195,0.8702006519070083,7.350827583287457,outputs\stc_final_evidence_v1\window\dbpedia_m500_q5\factual_utility_summary.csv
DBpedia,1000,47246,30086,0.636794649282479,0.00029632138170427127,0.0,0.0,-0.1563702041795313,0.15211023155398024,0.376545515904951,0.4120242983533013,0.22504338991661874,0.8478897684459747,17.27037632815486,outputs\stc_final_evidence_v1\window\dbpedia_m1000_q5\factual_utility_summary.csv
DBpedia,2500,47246,31773,0.6725013757778436,0.0008466325191550608,4.2331625957753037e-05,4.233162595775304e-06,-0.17517517229978236,0.1699022139440231,0.35774054778469994,0.42981628074334416,0.22353003428862875,0.8300977860559331,33.464644626000116,outputs\stc_final_evidence_v1\window\dbpedia_m2500_q5\factual_utility_summary.csv
DBpedia,5000,47246,32436,0.6865343097828388,0.0013969436566058503,4.2331625957753037e-05,4.233162595775304e-06,-0.18259137919795565,0.17691444778392473,0.35032434088652664,0.4368285145832458,0.22289505989926248,0.8230855522160334,49.397417770816595,outputs\stc_upgrade_corrected\exp14_factual_utility\dbpedia_m5000_subset_q5\factual_utility_summary.csv
DrugBank,500,585952,114127,0.19477192671072033,0.0141393834307247,0.000160422696739665,3.496548392717435e-05,-0.08534914122658432,0.08534914122658507,0.8906277305990936,0.10937226940090658,0.0,0.9146508587734165,23.976637506144602,outputs\stc_final_evidence_v1\window\drugbank_m500_q5\factual_utility_summary.csv
DrugBank,1000,585952,377152,0.6436568183059364,0.023792051226038995,0.0005819589317896346,0.00011534749474034778,-0.3097915870241922,0.309791587024193,0.6661852848014858,0.3338147151985145,0.0,0.6902084129758081,179.44186076677553,outputs\stc_final_evidence_v1\window\drugbank_m1000_q5\factual_utility_summary.csv
DrugBank,2500,585952,575592,0.9823193708699689,0.16447934301785813,0.0011263721260444544,0.00019943328691315008,-0.4791228633062084,0.479122863306209,0.49685400851946954,0.5031459914805305,0.0,0.5208771366937919,400.9718058818142,outputs\stc_final_evidence_v1\window\drugbank_m2500_q5\factual_utility_summary.csv
DrugBank,5000,585952,585902,0.99991466877833,0.571401753044618,0.0011639178635792693,0.00020603832980956157,-0.48792051226038907,0.48792051226038946,0.48805635956528887,0.511943640434711,0.0,0.5120794877396113,425.5752157174232,outputs\stc_upgrade_corrected\exp14_factual_utility\drugbank_m5000_q5\factual_utility_summary.csv
